entry_time,exit_time,pnl,size
2024-01-01 00:00:00,2024-01-01 10:00:00,97.65693570615974,1.0
2024-01-01 01:00:00,2024-01-01 11:00:00,40.20403349405353,1.0
2024-01-01 02:00:00,2024-01-01 12:00:00,112.80288498490039,1.0
2024-01-01 03:00:00,2024-01-01 13:00:00,28.398793812262006,1.0
2024-01-01 04:00:00,2024-01-01 14:00:00,-58.51017534939204,1.0
2024-01-01 05:00:00,2024-01-01 15:00:00,151.30316758989534,1.0
2024-01-01 06:00:00,2024-01-01 16:00:00,44.21062432950486,1.0
2024-01-01 07:00:00,2024-01-01 17:00:00,-97.13696825353735,1.0
2024-01-01 08:00:00,2024-01-01 18:00:00,3.5438438097545584,1.0
2024-01-01 09:00:00,2024-01-01 19:00:00,-118.35938217103559,1.0
