entry_time,exit_time,pnl,size
2024-01-01 00:00:00,2024-01-01 10:00:00,-25.85055734502498,1.0
2024-01-01 01:00:00,2024-01-01 11:00:00,47.94693664313459,1.0
2024-01-01 02:00:00,2024-01-01 12:00:00,3.9560036651412513,1.0
2024-01-01 03:00:00,2024-01-01 13:00:00,-191.33724741113255,1.0
2024-01-01 04:00:00,2024-01-01 14:00:00,133.50292414210008,1.0
2024-01-01 05:00:00,2024-01-01 15:00:00,50.26967861036338,1.0
2024-01-01 06:00:00,2024-01-01 16:00:00,116.15814498900261,1.0
2024-01-01 07:00:00,2024-01-01 17:00:00,263.9989373125387,1.0
2024-01-01 08:00:00,2024-01-01 18:00:00,56.2492557044144,1.0
2024-01-01 09:00:00,2024-01-01 19:00:00,43.49103737495534,1.0
