entry_time,exit_time,pnl,size
2024-01-01 00:00:00,2024-01-01 10:00:00,167.46060890857274,1.0
2024-01-01 01:00:00,2024-01-01 11:00:00,-28.18841035356245,1.0
2024-01-01 02:00:00,2024-01-01 12:00:00,0.5796557290910412,1.0
2024-01-01 03:00:00,2024-01-01 13:00:00,-23.356646616565165,1.0
2024-01-01 04:00:00,2024-01-01 14:00:00,-11.86534939997582,1.0
2024-01-01 05:00:00,2024-01-01 15:00:00,74.18696584230827,1.0
2024-01-01 06:00:00,2024-01-01 16:00:00,-20.53400775639017,1.0
2024-01-01 07:00:00,2024-01-01 17:00:00,83.7858397050234,1.0
2024-01-01 08:00:00,2024-01-01 18:00:00,64.87066612981558,1.0
2024-01-01 09:00:00,2024-01-01 19:00:00,-6.5968437928751245,1.0
