entry_time,exit_time,pnl,size
2024-01-01 00:00:00,2024-01-01 10:00:00,188.93037185422347,1.0
2024-01-01 01:00:00,2024-01-01 11:00:00,78.86869757583588,1.0
2024-01-01 02:00:00,2024-01-01 12:00:00,-77.7914630600978,1.0
2024-01-01 03:00:00,2024-01-01 13:00:00,25.341754004541073,1.0
2024-01-01 04:00:00,2024-01-01 14:00:00,93.08828876028294,1.0
2024-01-01 05:00:00,2024-01-01 15:00:00,27.877253175344347,1.0
2024-01-01 06:00:00,2024-01-01 16:00:00,-19.879163069497995,1.0
2024-01-01 07:00:00,2024-01-01 17:00:00,13.453848965428072,1.0
2024-01-01 08:00:00,2024-01-01 18:00:00,-10.973473455209048,1.0
2024-01-01 09:00:00,2024-01-01 19:00:00,-25.920818015808205,1.0
