entry_time,exit_time,pnl,size
2024-01-01 00:00:00,2024-01-01 10:00:00,-23.837116102653543,1.0
2024-01-01 01:00:00,2024-01-01 11:00:00,88.84502068805014,1.0
2024-01-01 02:00:00,2024-01-01 12:00:00,-15.30627497037359,1.0
2024-01-01 03:00:00,2024-01-01 13:00:00,113.18132626140299,1.0
2024-01-01 04:00:00,2024-01-01 14:00:00,-88.08295092312649,1.0
2024-01-01 05:00:00,2024-01-01 15:00:00,14.730190210321178,1.0
2024-01-01 06:00:00,2024-01-01 16:00:00,14.619501313211794,1.0
2024-01-01 07:00:00,2024-01-01 17:00:00,-206.12895519836582,1.0
2024-01-01 08:00:00,2024-01-01 18:00:00,-46.09691930329218,1.0
2024-01-01 09:00:00,2024-01-01 19:00:00,118.60736151469575,1.0
