date,equity
2024-01-01 00:00:00,9999.994836966976
2024-01-01 01:00:00,9999.97669013532
2024-01-01 02:00:00,9999.998725966814
2024-01-01 03:00:00,9999.993487878895
2024-01-01 04:00:00,9999.988998833733
2024-01-01 05:00:00,9999.994320797332
2024-01-01 06:00:00,9999.970369937302
2024-01-01 07:00:00,9999.957686653146
2024-01-01 08:00:00,9999.972029991244
2024-01-01 09:00:00,9999.960743027996
2024-01-01 10:00:00,9999.96173663436
2024-01-01 11:00:00,9999.958706575915
2024-01-01 12:00:00,9999.965211131
2024-01-01 13:00:00,9999.967932601921
2024-01-01 14:00:00,9999.973200746927
2024-01-01 15:00:00,9999.957403696952
2024-01-01 16:00:00,9999.935395813398
2024-01-01 17:00:00,9999.930682640988
2024-01-01 18:00:00,9999.92302880776
2024-01-01 19:00:00,9999.945711173717
2024-01-01 20:00:00,9999.948363227324
2024-01-01 21:00:00,9999.946795277549
2024-01-01 22:00:00,9999.941506960104
2024-01-01 23:00:00,9999.943811138133
2024-01-02 00:00:00,9999.942566503016
2024-01-02 01:00:00,9999.945650465303
2024-01-02 02:00:00,9999.950166481953
2024-01-02 03:00:00,9999.956101330587
2024-01-02 04:00:00,9999.955904925078
2024-01-02 05:00:00,9999.9326595374
2024-01-02 06:00:00,9999.93983759953
2024-01-02 07:00:00,9999.943312617037
2024-01-02 08:00:00,9999.931286025816
2024-01-02 09:00:00,9999.936869346797
2024-01-02 10:00:00,9999.939015420952
2024-01-02 11:00:00,9999.930327692033
2024-01-02 12:00:00,9999.916589931865
2024-01-02 13:00:00,9999.932943870857
2024-01-02 14:00:00,9999.948880344236
2024-01-02 15:00:00,9999.943785534004
2024-01-02 16:00:00,9999.95933919199
2024-01-02 17:00:00,9999.992510449754
2024-01-02 18:00:00,9999.973283609812
2024-01-02 19:00:00,9999.966261619624
2024-01-02 20:00:00,9999.98061789202
2024-01-02 21:00:00,9999.98150182618
2024-01-02 22:00:00,9999.979283600824
2024-01-02 23:00:00,9999.987005225408
2024-01-03 00:00:00,10000.005377855434
2024-01-03 01:00:00,9999.993343209708
2024-01-03 02:00:00,9999.986693060713
2024-01-03 03:00:00,10000.004215459476
2024-01-03 04:00:00,10000.01880084109
2024-01-03 05:00:00,10000.023608409747
2024-01-03 06:00:00,10000.036296552644
2024-01-03 07:00:00,10000.018751634438
2024-01-03 08:00:00,9999.999452354316
2024-01-03 09:00:00,10000.001794649175
2024-01-03 10:00:00,10000.007601143747
2024-01-03 11:00:00,9999.992995099181
2024-01-03 12:00:00,9999.998636772401
2024-01-03 13:00:00,10000.001833221486
2024-01-03 14:00:00,9999.993657813891
2024-01-03 15:00:00,9999.986958403182
2024-01-03 16:00:00,10000.003945464367
2024-01-03 17:00:00,10000.010869952728
2024-01-03 18:00:00,10000.009676856254
2024-01-03 19:00:00,10000.028294963438
2024-01-03 20:00:00,10000.040105238573
2024-01-03 21:00:00,10000.037787830599
2024-01-03 22:00:00,10000.026386395193
2024-01-03 23:00:00,10000.022745589706
2024-01-04 00:00:00,10000.034792748691
2024-01-04 01:00:00,10000.035658654837
2024-01-04 02:00:00,10000.03179325147
2024-01-04 03:00:00,10000.043393250458
2024-01-04 04:00:00,10000.046230951824
2024-01-04 05:00:00,10000.039960413036
2024-01-04 06:00:00,10000.046026156362
2024-01-04 07:00:00,10000.045833371929
2024-01-04 08:00:00,10000.041379151993
2024-01-04 09:00:00,10000.036026775177
2024-01-04 10:00:00,10000.059846208389
2024-01-04 11:00:00,10000.052692128858
2024-01-04 12:00:00,10000.04828171759
2024-01-04 13:00:00,10000.033494478137
2024-01-04 14:00:00,10000.031100247528
2024-01-04 15:00:00,10000.038546530142
2024-01-04 16:00:00,10000.032121345872
2024-01-04 17:00:00,10000.029288444635
2024-01-04 18:00:00,10000.030761819358
2024-01-04 19:00:00,10000.040526376077
2024-01-04 20:00:00,10000.050231337707
2024-01-04 21:00:00,10000.044816485917
2024-01-04 22:00:00,10000.044740997868
2024-01-04 23:00:00,10000.031160113993
2024-01-05 00:00:00,10000.030872815112
2024-01-05 01:00:00,10000.018612051506
2024-01-05 02:00:00,10000.012251400876
2024-01-05 03:00:00,10000.002697697719
