entry_time,exit_time,pnl,size
2024-01-01 00:00:00,2024-01-01 10:00:00,-113.61634075933493,1.0
2024-01-01 01:00:00,2024-01-01 11:00:00,-5.366615134670693,1.0
2024-01-01 02:00:00,2024-01-01 12:00:00,-25.56003560884321,1.0
2024-01-01 03:00:00,2024-01-01 13:00:00,-72.5270222161946,1.0
2024-01-01 04:00:00,2024-01-01 14:00:00,99.76408308705867,1.0
2024-01-01 05:00:00,2024-01-01 15:00:00,-14.50476373112032,1.0
2024-01-01 06:00:00,2024-01-01 16:00:00,-51.84637307246415,1.0
2024-01-01 07:00:00,2024-01-01 17:00:00,-17.775309399121657,1.0
2024-01-01 08:00:00,2024-01-01 18:00:00,80.76639178930645,1.0
2024-01-01 09:00:00,2024-01-01 19:00:00,48.66265341345093,1.0
