entry_time,exit_time,pnl,size
2024-01-01 00:00:00,2024-01-01 10:00:00,-53.151734375282786,1.0
2024-01-01 01:00:00,2024-01-01 11:00:00,-31.9042096028752,1.0
2024-01-01 02:00:00,2024-01-01 12:00:00,83.94478109543422,1.0
2024-01-01 03:00:00,2024-01-01 13:00:00,-8.069724810783098,1.0
2024-01-01 04:00:00,2024-01-01 14:00:00,-123.5192044463443,1.0
2024-01-01 05:00:00,2024-01-01 15:00:00,-17.245269898212157,1.0
2024-01-01 06:00:00,2024-01-01 16:00:00,-95.26047281491103,1.0
2024-01-01 07:00:00,2024-01-01 17:00:00,23.915531400564713,1.0
2024-01-01 08:00:00,2024-01-01 18:00:00,-46.36494235181412,1.0
2024-01-01 09:00:00,2024-01-01 19:00:00,59.17087801055347,1.0
