entry_time,exit_time,pnl,size
2024-01-01 00:00:00,2024-01-01 10:00:00,26.35267022779973,1.0
2024-01-01 01:00:00,2024-01-01 11:00:00,-12.721780913782949,1.0
2024-01-01 02:00:00,2024-01-01 12:00:00,-12.319392339220752,1.0
2024-01-01 03:00:00,2024-01-01 13:00:00,-138.04966527088106,1.0
2024-01-01 04:00:00,2024-01-01 14:00:00,9.675923790917002,1.0
2024-01-01 05:00:00,2024-01-01 15:00:00,24.799230322245396,1.0
2024-01-01 06:00:00,2024-01-01 16:00:00,158.02358254948618,1.0
2024-01-01 07:00:00,2024-01-01 17:00:00,65.68424375410878,1.0
2024-01-01 08:00:00,2024-01-01 18:00:00,65.80852043331868,1.0
2024-01-01 09:00:00,2024-01-01 19:00:00,66.52577148781822,1.0
